Run!	Lari!
He received cheers and applause.	Dia mendapat sorakan dan tepuk tangan.
He reminds me of my grandfather.	Dia mengingatkan pada kakekku.
He set out for Canada yesterday.	Kemarin, dia meninggalkan Kanada.
He stood aside for her to enter.	Tom bergeser untuk membiarkannya lewat.
He writes letters to his mother.	Dia menulis surat untuk ibunya.
His data is not accurate at all.	Datanya sama sekali tidak akurat.
His mother is worried about him.	Ibunya mengkhawatirkan anaknya.
How could I not see this coming?	Bagaimana bisa aku tidak menyadari hal ini?
How do you feel about this, Tom?	Apa yang kamu rasakan tentang ini, Tom?
How much do you charge per hour?	Berapa besar Anda mematok biaya per jamnya?
How's it going with you and Tom?	Bagaimana hubunganmu dengan Tom?
Humans aren't meant to be alone.	Manusia tidak seharusnya sendiri.
I am badly in need of your help.	Aku sangat membutuhkan bantuanmu.
I am busy cooking at the moment.	Saat ini saya sedang sibuk memasak.
I am leaving for Tokyo tomorrow.	Aku akan pergi ke Tokyo besok.
I apologize for having to leave.	Saya meminta maaf karena harus pergi.
I believe that you will succeed.	Saya yakin kamu akan berhasil.
I can't believe what I'm seeing.	Aku tidak percaya dengan apa yang aku lihat.
I can't decide which car to buy.	Aku tidak bisa memilih mobil mana yang mau kubeli.
I don't know where we'll arrive.	Aku tidak tahu di mana kita akan sampai.
I don't think I'm narrow-minded.	Aku kira aku tidak berpikiran sempit.
I don't want to be part of this.	Aku tidak ingin menjadi bagian dari ini.
I feel I'm wasting my time here.	Aku merasa kalau aku membuang-buang waktuku di sini.
I fell asleep with a sweater on.	Aku tertidur dengan mengenakan sebuah sweter.
I guess Tom is looking for Mary.	Kurasa Tom sedang mencari Mary.
I had bought it the week before.	Aku membelinya seminggu yang lalu.
I had no choice but to go there.	Aku tidak punya pilihan lain selain pergi ke sana.
I had no idea where I should go.	Saya tidak tau kemana seharusnya Saya pergi.
I have a sharp pain in my chest.	Dadaku rasanya nyeri.
I have to do something else now.	Ada hal lain yang harus ku kerjakan.
I just ate sushi and drank beer.	Saya baru saja makan sushi dan minum bir.
I left my dictionary downstairs.	Aku meninggalkan kamusku di lantai bawah.
I met up with her on the street.	Aku bertemu dengannya di jalan.
I remember seeing you somewhere.	Aku seperti pernah melihatmu di suatu tempat.
I said I'd talk to Tom about it.	Aku bilang aku akan bicara pada Tom tentang hal itu.
I stood here for thirty minutes.	Saya berdiri disini selama tiga puluh menit.
I study math as hard as English.	Aku belajar matematika dengan giat, segiat waktu aku belajar bahasa Inggris.
I told Tom we could do it today.	Aku memberitahu Tom kalau kita bisa melakukannya hari ini.
I took your umbrella by mistake.	Aku salah membawa payungmu.
I visited Fukuoka ten years ago.	Saya pernah mengunjungi Fukuoka 10 tahun yang lalu.
I want coffee, toast, and jelly.	Aku mau kopi, roti panggang, dan jeli.
I want this garbage out of here.	Saya mau sampah ini dibuang.
I want to go on a trip with you.	Aku ingin pergi jalan-jalan denganmu.
I want to invite you to a party.	Saya ingin mengundang kamu ke sebuah pesta.
I was at home all day yesterday.	Kemarin, saya di rumah sepanjang hari.
I was writing her a love letter.	Aku menulis sebuah surat cinta untuknya.
I will never tell it to anybody.	Saya tidak akan memberitahu siapapun.
I wish I could've stayed longer.	Aku berharap bisa tinggal lebih lama.
I wonder what Tom is doing here.	Aku penasaran apa yang Tom lakukan di sini.
I'd like to know what you think.	Aku ingin tahu apa yang kau pikirkan.
I'll give you anything but this.	Kuberikan apapun padamu kecuali ini.
I'm getting ready for the worst.	Aku bersiap untuk kemungkinan terburuk.
I'm glad you could make it, Tom.	Aku bersyukur kamu dapat melakukannya, Tom.
I'm going over to Tom's tonight.	Aku akan pergi ke rumah Tom malam ini.
I'm just trying to help you out.	Aku hanya ingin membantumu.
I'm looking for a part-time job.	Saya sedang mencari pekerjaan paruh waktu.
I'm not sure how I can help you.	Aku tidak yakin bagaimana bisa membantumu.
I'm not sure if this is correct.	Aku tidak yakin jika ini benar.
I'm not sure, but he might come.	Saya tidak yakin, tapi dia mungkin datang.
If I were you, I wouldn't do it.	Kalau aku jadi kamu, aku tidak akan melakukan itu.
If anybody can fix it, it's Tom.	Jika ada orang yang dapat memperbaikinya, orang itu adalah Tom.
In doing anything, do your best.	Ketika melakukan sesuatu, lakukanlah yang terbaik.
Is there a knife in the kitchen?	Apakah di dapur ada pisau?
Is there a problem with my work?	Apakah ada masalah dengan pekerjaan saya?
Is there a tour guide available?	Apa ada pemandu wisatanya?
Is there anything I should know?	Apakah ada sesuatu yang perlu aku ketahui?
It is written in simple English.	Itu ditulis dengan menggunakan bahasa Inggris sederhana.
It was the worst day of my life.	Ini adalah hari yang paling buruk seumur hidupku.
It's a pity that you can't come.	Sayang sekali Anda tidak bisa datang.
Last summer we went to Hokkaido.	Pada musim panas yang lalu kami pergi ke Hokkaido.
Learning a language is not easy.	Belajar bahasa tidaklah mudah.
Let's wait for the rain to stop.	Mari kita menunggu hujannya berhenti.
May I see your driver's license?	Boleh saya melihat SIM Anda?
May I see your passport, please?	Bolehkah saya melihat paspor Anda?
Millions of men lost their jobs.	Jutaan pria kehilangan pekerjaan mereka.
My aunt brought me some flowers.	Bibiku membawakanku beberapa bunga.
My aunt made a new skirt for me.	Bibi saya membuatkan saya rok baru.
Night is when most people sleep.	Malam adalah waktu di mana kebanyakan orang beristirahat.
Nobody cares about our problems.	Tidak ada yang peduli terhadap masalah kita.
Not everything can be explained.	Tidak semua hal bisa dijelaskan.
Of course she can speak English.	Jelas dia bisa berbahasa Inggris.
One of my horses died yesterday.	Salah satu kudaku mati kemarin.
Pick up your things and go away.	Ambil semua barangmu dan pergilah.
Please give me a sheet of paper.	Tolong berikan selembar kertas.
Please give me your credit card.	Tolong berikan saya kartu kreditmu.
Please shut the door behind you.	Tolong tutup pintu di belakangmu.
She advised him to study harder.	Ia memberitahunya untuk belajar lebih keras.
She is looking for her car keys.	Dia sedang mencari kunci mobilnya.
She set it aside for future use.	Dia menyimpannya agar bisa digunakan nanti.
She tends to be late for school.	Dia suka terlambat ke sekolah.
She took the taxi to the museum.	Dia naik taksi ke museum.
Someone has stolen all my money.	Seseorang telah mencuri semua uangku.
Someone is knocking on the door.	Seseorang mengetuk pintu.
Something horrible has happened.	Sesuatu yang mengerikan telah terjadi.
Tell your mother about the trip.	Beritahukan ibumu soal perjalanan itu.
That doesn't seem too difficult.	Sepertinya itu tidak terlalu sulit.
That should get Tom's attention.	Itu pasti akan menarik perhatiannya Tom.
That was interesting, wasn't it?	Itu tadi menarik, ya?
The ball rolled across the road.	Bola itu menggelinding melintasi jala.
The dog was sleeping on the mat.	Anjing itu tidur di atas tikar.
The fire burned down ten houses.	Api itu membakar habis sepuluh rumah.
The girl standing there is Mary.	Gadis yang berdiri di sana adalah Mary.
The movie starts at ten o'clock.	Filmnya akan mulai pada pukul sepuluh.
The museum is around the corner.	Museumnya ada di dekat sini.
The old couple sat side by side.	Pasangan lanjut usia itu duduk berdampingan.
The old man is angry and bitter.	Orang tua itu marah dan merasa sakit hati.
The ship's crew is now complete.	Kru kapalnya sekarang lengkap.
The story turned out to be true.	Sepertinya cerita itu benar adanya.
There is a shopping area nearby.	Ada tempat perbelanjaan di dekat sini.
They got married six months ago.	Mereka menikah enam bulan yang lalu.
This hotel does not serve lunch.	Hotel ini tidak menyediakan makan siang.
This is a hazard to your health.	Ini membahayakan kesehatan Anda.
Tom answered in the affirmative.	Tom menyetujuinya.
Tom arrived three minutes early.	Tom tiba tiga menit lebih awal.
Tom ate only one slice of bread.	Tom cuma makan satu potong roti.
Tom didn't have to be so formal.	Tom tidak perlu seformal itu.
Tom enjoys playing tricks on me.	Tom senang mengerjaiku.
Tom filled the glass with water.	Tom mengisi gelas dengan air.
Tom gladly accepted Mary's gift.	Tom dengan senang hati menerima hadiah dari Mary.
Tom has shaved off his mustache.	Tom telah mencukur kumisnya.
Tom is a personal enemy of mine.	Tom adalah musuh pribadi saya.
Tom is alone in the living room.	Tom berada seorang diri di ruang keluarga.
Tom is getting ready for school.	Tom bersiap pergi ke sekolah.
Tom is hiding something from us.	Tom menyembunyikan sesuatu dari kita.
Tom is much taller than you are.	Tom jauh lebih tinggi daripada kamu.
Tom is quick-tempered, isn't he?	Tom gampang marah, ya?
Tom is the tallest in his class.	Tom adalah yang tertinggi di kelasnya.
Tom is wearing a biohazard suit.	Tom mengenakan baju biobahaya.
Tom laid his cards on the table.	Tom meletakkan kartu-kartunya di atas meja.
Tom left only a few minutes ago.	Tom pergi beberapa menit yang lalu.
Tom moved here three months ago.	Tom pindah ke sini tiga bulan yang lalu.
Tom never gave in to temptation.	Tom tidak pernah menyerah pada godaan.
Tom offered Mary a stick of gum.	Tom menawarkan sebatang permen kepada Mary.
Tom often cries when he's drunk.	Tom seringkali menangis saat dia mabuk.
Tom practiced every day at home.	Tom berlatih setiap hari di rumah.
Tom put on one of John's shirts.	Tom mengenakan salah satu baju milik John.
Tom realizes he's being ignored.	Tom menyadari dirinya sedang dihiraukan.
Tom received a letter from Mary.	Tom menerima surat dari Mary.
Tom seemed to be very surprised.	Tom terlihat sangat terkejut.
Tom seldom speaks to us anymore.	Tom sudah jarang berbicara dengan kami.
Tom slowly walked up the stairs.	Tom menaiki tangga secara perlahan.
Tom sold his house for $300,000.	Tom menjual rumahnya $300000.
Tom went to Boston to meet Mary.	Tom pergi ke Boston untuk menemui Mary.
Unless it rains, I will go, too.	Kalau tidak hujan, aku akan ikut pergi.
We climbed Mt. Fuji last summer.	Kami mendaki Gunung Fuji musim panas tahun lalu.
We discussed the plan yesterday.	Kami mendiskusikan rencana itu kemarin.
We don't really have to sell it.	Kita tidak harus menjualnya.
We eat to live, not live to eat.	Kita makan untuk hidup, bukan hidup untuk makan
We go fishing from time to time.	Kami memancing dari waktu ke waktu.
We have been friends ever since.	Kami menjadi teman sejak saat itu.
We killed time by playing cards.	Kami menghabiskan waktu dengan bermain kartu.
We shouldn't have told Tom that.	Mestinya kita tidak memberi tahu itu pada Tom.
We've known each other for ages.	Sudah lama kami saling kenal.
What are you punishing them for?	Untuk apa kau menghukum mereka?
What did you think of the party?	Bagaimana menurutmu pestanya?
What do you have in your pocket?	Apa yang kau simpan di dalam kantongmu?
What have you learned about Tom?	Apa yang kamu ketahui tentang Tom?
What time do you start check-in?	Mulai dari jam berapa saya bisa lapor masuk?
Where did you get your hair cut?	Di mana kamu mencukur rambut?
Won't you join our conversation?	Mau bergabung dalam pembicaraan kami?
Would you check the oil, please?	Maukah anda memeriksa olinya?
Would you like something to eat?	Apa kau ingin makan sesuatu?
Would you like to eat something?	Apa kau ingin makan sesuatu?
Would you like to travel abroad?	Apa kau ingin pergi jalan-jalan ke luar negeri?
You don't have to come tomorrow.	Kamu tidak harus datang besok.
You don't have to come tomorrow.	Anda tidak harus datang besok.
You have nothing to worry about.	Tidak ada yang perlu dikhawatirkan.
You should keep your mouth shut.	Kau harus menjaga mulutmu agar tetap diam.
You'd better consult the doctor.	Sebaiknya kau berkonsultasi dengan dokter.
You've got bags under your eyes.	Kamu punya kantung mata.
Your English has improved a lot.	Bahasa Inggrismu mengalami banyak peningkatan.
Your bicycle is similar to mine.	Sepedamu mirip dengan milikku.
Your chair is identical to mine.	Kursimu sama persis dengan milikku.
Your opinion is similar to mine.	Pendapatmu mirip dengan pendapatku.
Your problem is similar to mine.	Masalahmu sama denganku.
Your team is stronger than ours.	Tim kalian lebih kuat ketimbang tim kami.
"How old are you?" "I'm sixteen."	"Berapa umurmu?" "Aku enam belas tahun."
A driver was sleeping in the car.	Seorang sopir tidur didalam mobil.
All the boys didn't laugh at him.	Semua anak laki-laki tidak menertawakannya.
Are you free on Friday afternoon?	Apakah Anda ada acara Jumat siang?
At first, I thought she was sick.	Pada awalnya aku mengira dia sakit.
At what time will you be leaving?	Kamu berangkat jam berapa?
At what time will you be leaving?	Kau akan berangkat jam berapa?
Can it be phrased in another way?	Bisakan itu diungkapkan dengan cara lain?
Can you put it down on the table?	Dapatkah kamu meletakannya di meja?
Could you turn that down, please?	Bisa tolong dikecilkan ?
Do I have your word on that, Tom?	Dapatkah saya mempercayai perkataanmu terhadap itu, Tom?
Do these paintings appeal to you?	Apa kau suka lukisan-lukisan ini?
Do you have any questions for me?	Apa kau memiliki beberapa pertanyaan untukku?
Do you know how to open this box?	Apakah kamu tahu cara membuka kotak ini?
Do you know how to speak English?	Apa Anda tahu bagaimana caranya berbicara dalam bahasa Inggris?
Do you play a musical instrument?	Apa kau memainkan sebuah instrumen musik?
Do you realize what you're doing?	Apa kamu sadar akan apa yang kamu perbuat?
Don't hesitate to ask for advice.	Jangan sungkan untuk meminta saran.
Don't let anything slow you down.	Jangan biarkan apapun memperlambat jalanmu.
Exercise is good for your health.	Berolahraga baik untuk kesehatanmu.
Find Tom before he hurts someone.	Temukan Tom sebelum ia menyakiti seseorang.
Friendship requires mutual trust.	Persahabatan membutuhkan rasa saling percaya.
Have you ever had food poisoning?	Apa kau pernah keracunan makanan?
Have you finished your lunch yet?	Sudahkan kau menghabiskan makan siangmu?
Have you finished your lunch yet?	Apa kau sudah menghabiskan makan siangmu?
Have you taken your medicine yet?	Apakah kamu sudah minum obat?
Have you taken your medicine yet?	Sudah minum obat?
He has a hundred dollars at most.	Dia cuma punya seratus dolar paling banyak.
He listened to music in his room.	Dia mendengarkan musik di kamarnya.
He's a carbon copy of his father.	Dia adalah salinan dari ayahnya.
His loud voice drew my attention.	Suaranya yang nyaring menarik perhatianku.
How many languages can you speak?	Berapa banyak bahasa yang bisa Anda pahami?
How much does he earn in a month?	Berapa banyak yang dia peroleh per bulan?
How much does this umbrella cost?	Payung ini berapa harganya?
Hurry up, or you'll miss the bus.	Cepatlah, atau kau akan ketinggalan busnya.
I am acquainted with your father.	Aku mengenal ayahmu.
I became a lawyer to help people.	Aku menjadi seorang pengacara untuk membantu orang-orang.
I brought you a little something.	Aku membawakanmu sesuatu.
I bumped into your dad yesterday.	Saya bertemu dengan ayahmu kemarin.
I couldn't forget you if I tried.	Aku tidak dapat melupakanku ketika aku mencobanya.
I don't care what Tom looks like.	Aku tidak peduli Tom terlihat seperti apa.
I don't expect anything from you.	Aku tidak mengharapkan apa-apa darimu.
I don't have any free time today.	Aku tidak punya waktu luang hari ini.
I don't need an answer right now.	Aku tidak membutuhkan jawaban saat ini.
I don't want to do this with you.	Saya tidak mau melakukan ini dengan kamu.
I don't want to get into trouble.	Aku tidak mau mendapat masalah.
I don't want to see Tom get hurt.	Aku tidak mau melihat Tom tersakiti.
I have to go there for my father.	Saya harus pergi ke sana demi ayah saya.
I hope I haven't interrupted you.	Kuharap aku tidak mengganggumu.
I just wish you'd told me before.	Andai saja kau memberitahuku sebelumnya.
I know how much you meant to Tom.	Aku tahu seberapa berartinya dirimu bagi Tom.
I never expected to see you here.	Aku tidak menyangka akan bertemu denganmu di sini.
I received your letter yesterday.	Aku menerima suratmu kemarin.
I see no need for Tom to do that.	Aku rasa Tom tidak perlu melakukannya.
I should've been able to do more.	Seharusnya aku bisa melakukan lebih.
I think I may have to get a loan.	Aku rasa aku harus mencari pinjaman.
I wrote three letters last night.	Aku menulis tiga pucuk surat semalam.
I'll call back in twenty minutes.	Saya akan menghubungi kembali dalam 20 menit.
I'll drop you off at the station.	Saya akan menurunkanmu di stasiun.
I'm allergic to synthetic rubber.	Aku alergi pada karet sintetis.
I'm quitting my job as a teacher.	Saya berhenti dari pekerjaan saya sebagai seorang guru.
I'm sure I won't be disappointed.	Saya yakin tidak akan kecewa.
I'm sure I'll be able to find it.	Saya yakin saya akan dapat menemukannya.
I've changed my website's layout.	Aku telah mengubah tata letak situs webku.
I've got three hours to find Tom.	Aku menghabiskan waktu 3 jam untuk mencari Tom.
I've got to go to the men's room.	Aku harus pergi ke kamar kecil.
Isn't that what needs to be done?	Bukankah itu adalah hal yang seharusnya dilakukan?
It doesn't have to end like this.	Seharusnya tidak menjadi seperti ini.
It looks like it's going to rain.	Sepertinya akan turun hujan.
It was too bad you couldn't come.	Sayang sekali kamu tidak bisa datang.
It's difficult to speak with him.	Susah untuk berbicara dengannya.
Keep children away from the pond.	Jauhkan anak-anak dari kolam.
Last night I had a strange dream.	Mimpiku semalam aneh.
Let's not talk about it any more.	Sebaiknya kita jangan membicarakan ini lagi.
Most Englishmen are conservative.	Kebanyakan orang Inggris konservatif.
Mother is cooking in the kitchen.	Ibu sedang masak di dapur.
My brother sends you his regards.	Kakak saya menitipkan salamnya untuk anda.
My father would often go fishing.	Ayahku dulu sering pergi memancing.
My little brother is watching TV.	Adikku sedang menonton TV.
My parents aren't home right now.	Orang tua saya tidak di rumah sekarang.
New Hampshire is next to Vermont.	New Hampshire ada di sebelah Vermont.
Not all of the staff was present.	Tidak semua pegawai datang hadir.
Old people are usually very wise.	Orang tua biasanya sangat bijaksana.
Please call me up if you want me.	Silakan panggil saya bila butuh sesuatu.
Please help yourself to the cake.	Silakan dinikmati kuenya.
Please move your car out of here.	Tolong pindahkan mobil Anda dari sini.
She gave birth to a healthy baby.	Dia melahirkan bayi yang sehat.
She suffocated him with a pillow.	Ia mencekiknya dengan bantal.
Smoking is harmful to the health.	Merokok berbahaya bagi tubuh.
Speaking Japanese is easy for me.	Berbicara bahasa Jepang itu mudah bagi saya.
Tell me more about what happened.	Beritahu aku apa lagi yang terjadi.
Ten paper plates cost one dollar.	Sepuluh lembar piring kertas harganya 10 dolar.
Ten years is a long time to wait.	Sepuluh tahun adalah waktu yang lama untuk menunggu.
That doesn't interest me anymore.	Saya tidak tertarik lagi dengan itu
That doesn't sound too difficult.	Kedengarannya itu tidak terlalu sulit.
That job takes a lot of strength.	Pekerjaan itu memerlukan banyak tenaga.
That's what makes the difference.	Hal itulah yang membuat perbedaan.
The United States borders Canada.	Amerika Serikat berbatasan dengan Kanada.
The boy complained of a headache.	Anak laki-laki itu mengeluh sakit kepala.
The bus leaves every ten minutes.	Busnya berangkat setiap 10 menit.
The meeting took place yesterday.	Rapatnya diadakan kemarin.
The red dress looked good on her.	Terusan merah terlihat bagus dipakainya.
The singer has a beautiful voice.	Penyanyi tersebut memiliki suara yang indah.
The sky became darker and darker.	Langitnya semakin gelap dan gelap.
There are many mysteries in life.	Ada banyak misteri dalam kehidupan.
This is the only camera I've got.	Hanya ini kamera yang aku dapatkan.
This isn't exactly what I wanted.	Ini tidak seperti yang aku inginkan.
Tom appreciated Mary's hard work.	Tom menghargai kerja keras Mary.
Tom couldn't hide his excitement.	Tom tidak mampu menyembunyikan antusiasmenya.
Tom doesn't know what went wrong.	Tom tidak mengetahui apa yang salah.
Tom had a car accident in Boston.	Tom mengalami kecelakaan mobil di Boston.
Tom hasn't arrived in Boston yet.	Tom masih belum tiba di Boston.
Tom is almost as tall as you are.	Tom hampir sama tingginya dengan kamu.
Tom is interested in mathematics.	Tom tertarik pada matematika.
Tom left without even telling me.	Tom pergi tanpa memberitahuku.
Tom likes making paper airplanes.	Tom suka membuat pesawat kertas.
Tom likes tea better than coffee.	Tom lebih suka teh daripada kopi.
Tom likes to listen to Mary sing.	Tom suka mendengar nyanyian Mary.
Tom lives alone in a large house.	Tom tinggal sendiri di rumah yang besar
Tom looks like he's seen a ghost.	Tom nampak seperti telah melihat setan.
Tom made me wait for three hours.	Tom membuat saya menunggu selama tiga jam.
Tom may not be busy, but Mary is.	Tom mungkin tidak sibuk, tetapi Mary mungkin.
Tom might think I don't like him.	Tom mungkin berpikir bahwa aku tidak menyukainya.
Tom nudged the door open a crack.	Tom mendorong pintunya dan membukanya sedikit.
Tom often swears when he's angry.	Tom sering bersumpah serapa ketika marah.
Tom pointed to a spot on the map.	Tom menunjuk suatu tempat di peta.
Tom probably won't become famous.	Tom mungkin tidak akan pernah menjadi terkenal.
Tom realized Mary wasn't kidding.	Tom menyadari Mary tidak sedang bercanda.
Tom says he can wait a long time.	Tom berkata dia dapat menunggu lama.
Tom screamed as loud as he could.	Tom berteriak sekencang-kencangnya.
Tom seems very angry, doesn't he?	Tom kelihatannya sangat marah, ya?
Tom slipped out of the classroom.	Tom menyelinap keluar kelas.
Tom thanked everyone for waiting.	Tom berterima kasih kepada semuanya karena telah menunggu.
Tom took charge of the situation.	Tom mengambil alih situasi.
Tom tried to answer the question.	Tom mencoba menjawab pertanyaan itu.
Tom waited for Mary to come home.	Tom menunggu Mary pulang ke rumah.
Tom wanted to wear his new shoes.	Tom ingin mengenakan sepatu barunya.
Tom was confused by the question.	Tom dibingungkan oleh pertanyaan itu.
Tom was unable to hide his tears.	Tom tidak kuasa menahan air matanya.
Tom will be here in five minutes.	Tom akan sampai di sini dalam lima menit.
Tom's father is a police officer.	Ayah Tom adalah seorang polisi.
Tom's parents were both teachers.	Kedua orang tua Tom adalah guru.
Tom's proposal wasn't acceptable.	Lamaran Tom tidak diterima.
Two for the lunch buffet, please.	Saya pesan dua bufet santap siang.
Uncle Tom is my mother's brother.	Paman Tom adalah adik ibuku.
Wait until I tell Tom about this.	Tunggu sampai aku memberitahu Tom tentang hal ini.
We always have to obey the rules.	Kami selalu patuh terhadap peraturan.
We had to learn to read the word.	Kita diharuskan untuk belajar membaca kata.
We have had bad weather recently.	Akhir-akhir ini cuacanya buruk.
We have to do this the right way.	Kita harus melakukannya dengan benar.
We haven't known each other long.	Kami belum lama saling mengenal.
We hope prices are going to drop.	Kami berharap harga-harga akan turun.
We need to conserve our strength.	Kita perlu menghemat tenaga kita.
We saw an island in the distance.	Kami melihat sebuah pulau di kejauhan.
We should look after our parents.	Kita harus memperhatikan kedua orang tua kita.
We're a little worried about Tom.	Kami sedikit khawatir dengan Tom.
We've got a very serious problem.	Kami mendapatkan masalah yang sangat serius.
We've known each other for years.	Sudah bertahun-tahun kami saling kenal.
What did you do over the weekend?	Apa yang kau lakukan di akhir pekan?
What do you do in your free time?	Apa yang kamu lakukan saat luang?
What happened wasn't Tom's fault.	Apa yang terjadi bukanlah kesalahan Tom.
What happens if Tom doesn't pass?	Apa yang terjadi jika Tom tidak lulus?
What train you are going to take?	Kereta apa yang akan kamu naiki?
What's it we're waiting for here?	Untuk apa kita menunggu di sini?
What's your favorite kind of art?	Jenis seni apa yang menjadi favorit Anda?
What's your favorite winter food?	Apa makanan musim dingin favoritmu?
When did the accident take place?	Kapan kecelakaan itu terjadi?
Why are people always so cynical?	Kenapa orang selalu terlalu sinis.
Would you mind shutting the door?	Bisa tolong Anda tutup pintunya?
Would you please open the window?	Bisakah kau membuka jendelanya?
You always make the same mistake.	Kamu selalu melakukan kesalahan yang sama.
You and Tom have a lot in common.	Kamu dan Tom punya banyak kesamaan.
You can call me anytime you like.	Kau bisa menelponku kapan saja.
You can't come to Boston with me.	Kau tidak bisa pergi ke Boston denganku.
You have good reason to be angry.	Kamu punya alasan tepat untuk marah.
You have the wrong idea about me.	Kau salah menilai diriku.
You know what I am talking about.	Kau pasti tahu apa yang aku maksud.
You know what they say about Tom.	Kamu tahu apa yang mereka katakan tentang Tom.
You look familiar. Do I know you?	Anda seperti kenalan saya. Apakah saya mengenal anda?
You must not touch the paintings.	Kau tidak boleh menyentuh lukisannya.
You'd better consult your doctor.	Sebaiknya kau berkonsultasi dengan doktermu.
You're in better shape than I am.	Anda berada dalam kondisi yang lebih baik daripada aku.
Your plan seems better than mine.	Rencanamu sepertinya lebih baik daripada milikku.
A customs declaration is required.	Memerlukan pemberitahuan pabean.
All right. I'll accept your offer.	Baik, aku akan terima tawaranmu.
All right. I'll accept your offer.	Baik, saya akan terima tawaran Anda.
Almost three thousand people died.	Hampir tiga ribu orang mati.
Are you joking or are you serious?	Kau main-main atau serius?
Aren't you still living in Boston?	Bukannya kamu masih tinggal di Boston?
Both Tom and Mary are from Boston.	Baik Tom dan Mary keduanya berasal dari Boston.
Correct my spelling if it's wrong.	Koreksi ejaan saya bila itu salah.
Could you please pass me the salt?	Bisa minta tolong ambilkan garamnya?
Do you guys want something to eat?	Apa kalian ingin makan sesuatu?
Do you have a non-smoking section?	Apakah ada area bebas rokok?
Do you have an English dictionary?	Apa kau memiliki sebuah kamus bahasa Inggris?
Do you have any further questions?	Apakah ada pertanyaan lagi?
Do you want to go swimming or not?	Kamu ingin pergi berenang atau tidak?
Don't be afraid. I won't hurt you.	Jangan takut. Aku tidak akan melukaimu.
Don't you have an air conditioner?	Kamu tidak punya AC?
Everyone deserves a second chance.	Semua orang layak untuk mendapatkan kesempatan kedua.
God created the world in six days.	Tuhan menciptakan dunia dalam waktu enam hari.
He had friends all over the world.	Dia memiliki teman di seluruh dunia.
He has coached us for half a year.	Dia telah melatih kami selama setengah tahun.
He hid his sadness behind a smile.	Dia menyembunyikan kesedihannya dibalik senyum.
He is very sensitive to criticism.	Ia sangat sensitif pada kritikan.
He resembles his father very much.	Dia sangat mirip dengan ayahnya.
He said good night to his parents.	Dia mengucapkan selamat malam pada orang tuanya.
He took a book from the bookshelf.	Dia mengambil sebuah buku dari rak buku.
He was jealous of their happiness.	Dia iri dengan kebahagiaan mereka.
He was scared you would shoot him.	Dia takut kamu akan menembaknya.
Her beauty was beyond description.	Kecantikannya tidak bisa diungkapkan dengan kata-kata.
His house is far from the station.	Rumahnya jauh dari stasiun.
How about something cold to drink?	Apakah Anda mau minum sesuatu yang dingin?
How dare you talk to me like that!	Beraninya kamu bilang seperti itu padaku!
How much did you drink last night?	Kamu minum berapa banyak semalam?
Hurry up, or we'll miss the train.	Cepat, atau kita akan ketinggalan keretanya.
I always said Tom was a smart kid.	Aku selalu bilang kalau Tom anak yang pandai.
I am sure of his passing the exam.	Aku yakin dia akan berhasil melewati tesnya.
I apologize for what Tom has done.	Saya minta maaf atas apa yang telah diperbuat oleh Tom.
I can get you everything you need.	Saya dapat memenuhi semua kebutuhan anda.
I can't rule out that possibility.	Aku bisa menghilangkan kemungkinan itu.
I did nothing during the holidays.	Saya tidak melakukan apa-apa selama liburan.
I don't have anything to tell you.	Tidak ada yang ingin kuberitahukan padamu.
I don't know when he'll come back.	Saya tidak tahu kapan dia akan kembali.
I don't think we have enough time.	Aku tidak berpikir kita memiliki cukup waktu.
I guess you didn't get my message.	Aku rasa kau tidak menerima pesanku.
I have three chickens in my house.	Ada tiga ayam di rumah saya.
I have three chickens in my house.	Di rumah saya ada tiga ekor ayam.
I haven't been sleeping very well.	Aku tidak tidur dengan nyenyak akhir-akhir ini.
I haven't heard of him since then.	Saya tidak mendengar kabarnya semenjak itu.
I hope no one sits in front of us.	Aku harap tidak ada seorangpun yang akan duduk di depan kita.
I hope you know what you're doing.	Aku harap kau tahu apa yang kau perbuat.
I know exactly what Tom was doing.	Aku tahu tepatnya apa yang Tom lakukan.
I know who your secret admirer is.	Aku tahu siapa penggemar rahasiamu.
I like white wine better than red.	Aku lebih suka anggur putih daripada merah.
I must get the book back from him.	Aku harus mengambil kembali bukuku darinya.
I only told Tom what Mary told me.	Aku hanya memberi tahu Tom apa yang Mary beritahu padaku.
I saw Tom and Mary leave together.	Saya melihat Tom dan Mary berangkat bersama.
I think I know why Tom isn't here.	Aku kira aku tahu kenapa Tom tidak ada di sini.
I think I remember how to do that.	Aku pikir aku sudah ingat bagaimana cara melakukannya.
I think you and he wanna be alone.	Aku akan meninggalkan kalian berdua.
I thought Tom and Mary were happy.	Aku kira Tom dan Mary bahagia.
I told Tom I didn't want his help.	Saya beritahu Tom bahwa saya tidak butuh pertolongannya.
I want to go back to being a baby.	Aku ingin kembali menjadi bayi.
I want you to go to Osaka at once.	Aku ingin kamu segera pergi ke Osaka.
I wasn't expecting that to happen.	Saya tidak menduga hal itu dapat terjadi.
I wish you wouldn't smoke so much.	Saya harap kamu tidak akan merokok terlalu banyak.
I wonder why Tom is staring at me.	Aku penasaran kenapa Tom memandangiku.
I wouldn't lose any sleep over it.	Saya tidak ingin kekurangan tidur karena ini.
I'd rather stay home this weekend.	Aku lebih memilih tetap berada di rumah akhir pekan ini.
